Time,Male,Female
1,0.22328238785358800,0.03417636612901050
2,0.00089337615507732,0.00039597775407565
3,-0.00000202688913479,-0.00000258525271225
4,0.00000000078920380,0.00000000120542583
5,-0.00256196824097400,0.00594905112495418
6,-0.00002226447348061,-0.00017838008558499
7,0.00000058504957494,0.00000130311061583
