Age,143.4,204.8,344.7
0,1,0.85,0.98
1,1,0.85,0.98
2,1,0.85,0.98
3,1,0.85,0.98
4,1,0.85,0.98
5,1,0.85,0.98
6,1,0.85,0.98
7,1,0.85,0.98
8,1,0.85,0.98
9,1,0.85,0.98
10,1,0.85,0.98
11,1,0.85,0.98
12,1,0.85,0.98
13,1,0.85,0.98
14,1,0.85,0.98
15,1,0.85,0.98
16,1,0.85,0.98
17,1,0.85,0.98
18,1,0.85,0.98
19,1,0.85,0.98
20,1,0.85,0.98
21,1,0.85,0.98
22,1,0.85,0.98
23,1,0.85,0.98
24,1,0.85,0.98
25,1,0.85,0.98
26,1,0.85,0.98
27,1,0.85,0.98
28,1,0.85,0.98
29,1,0.85,0.98
30,1,0.85,0.98
31,1,0.85,0.98
32,1,0.85,0.98
33,1,0.85,0.98
34,1,0.85,0.98
35,1,0.85,0.98
36,1,0.85,0.98
37,1,0.85,0.98
38,1,0.85,0.98
39,1,0.85,0.98
40,1,0.85,0.98
41,1,0.85,0.98
42,1,0.85,0.98
43,1,0.85,0.98
44,1,0.85,0.98
45,1,0.85,0.98
46,1,0.85,0.98
47,1,0.85,0.98
48,1,0.85,0.98
49,1,0.85,0.98
50,1,0.85,0.98
51,1,0.85,0.98
52,1,0.85,0.98
53,1,0.85,0.98
54,1,0.85,0.98
55,1,0.85,0.98
56,1,0.85,0.98
57,1,0.85,0.98
58,1,0.85,0.98
59,1,0.85,0.98
60,1,0.85,0.98
61,1,0.85,0.98
62,1,0.85,0.98
63,1,0.85,0.98
64,1,0.85,0.98
65,1,0.85,0.98
66,1,0.85,0.98
67,1,0.85,0.98
68,1,0.85,0.98
69,1,0.85,0.98
70,1,0.85,0.98
71,1,0.85,0.98
72,1,0.85,0.98
73,1,0.85,0.98
74,1,0.85,0.98
75,1,0.85,0.98
76,1,0.85,0.98
77,1,0.85,0.98
78,1,0.85,0.98
79,1,0.85,0.98
80,1,0.85,0.98
81,1,0.85,0.98
82,1,0.85,0.98
83,1,0.85,0.98
84,1,0.85,0.98
85,1,0.85,0.98
86,1,0.85,0.98
87,1,0.85,0.98
88,1,0.85,0.98
89,1,0.85,0.98
90,1,0.85,0.98
91,1,0.85,0.98
92,1,0.85,0.98
93,1,0.85,0.98
94,1,0.85,0.98
95,1,0.85,0.98
96,1,0.85,0.98
97,1,0.85,0.98
98,1,0.85,0.98
99,1,0.85,0.98
100,1,0.85,0.98
101,1,0.85,0.98
102,1,0.85,0.98
103,1,0.85,0.98
104,1,0.85,0.98
105,1,0.85,0.98
106,1,0.85,0.98
107,1,0.85,0.98
108,1,0.85,0.98
109,1,0.85,0.98
110,1,0.85,0.98
