Age,80,160,240,320,400,480,560,640,720,800,880,960,1040
0,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
1,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
2,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
3,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
4,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
5,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
6,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
7,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
8,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
9,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
10,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
11,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
12,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
13,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
14,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
15,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
16,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
17,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
18,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
19,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
20,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
21,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
22,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
23,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
24,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
25,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
26,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
27,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
28,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
29,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
30,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
31,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
32,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
33,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
34,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
35,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
36,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
37,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
38,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
39,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
40,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
41,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
42,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
43,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
44,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
45,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
46,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
47,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
48,1,0.96,0.9216,0.8847,0.8493,0.8154,0.7828,0.7514,0.7214,0.6925,0.6648,0.6382,0.6127
