Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
15,1,268.8174792,94.18000866,73.42179622,2.730402254,1797.474564,37.99573735,16.3306267,33.96661621,115.8837622,81.71169487,18.8788868,110.0363654,189.6028976,34.49232274,62.91692961,22.85873676,963.9266439,11.35665821,91.40929906,1.157678838,8.536717138,0,162.7,54.45,1.671588383,1326.0305,2216.57718,1.233161918,635.5848802
16,1,276.8367086,97.18557797,75.93384467,2.823610472,1902.63912,39.23229797,16.87145386,35.01499868,119.1949243,84.27189065,19.51299221,113.7738863,196.1918557,35.77361457,65.04077722,23.88197439,989.8405544,11.71879306,93.92111108,1.198475922,8.819887359,17.58898409,163.0317,66.22615967,1.671869374,1440.82746,2408.875303,1.266070522,638.0313815
17,1,275.7527912,97.01591299,75.96914808,2.823569403,1910.15034,39.18648195,16.86356432,34.91706249,118.5816801,84.01773345,19.51526104,113.857993,196.3674994,35.89985801,65.00578732,24.14184107,983.2904891,11.69948302,93.35326533,1.20030497,8.816743193,17.48247162,163.029912,66.30654989,1.672171857,1436.699383,2402.408275,1.257706383,640.7407191
18,1,274.7891088,96.90095346,76.04638764,2.823891147,1917.240427,39.1612023,16.86670987,34.83827038,118.0217967,83.75420468,19.53319596,114.0613719,196.6316971,36.05321126,64.97089312,24.41790258,977.3727447,11.68841589,92.84385382,1.202863535,8.820200862,17.3990537,163.0261472,66.46451213,1.672495117,1433.333896,2397.243943,1.25036167,643.7212726
19,1,273.9380203,96.83632713,76.16278089,2.824446973,1923.915161,39.15454621,16.87978913,34.77766051,117.5136818,83.48141304,19.56582969,114.3768292,196.9756584,36.23099374,64.9353755,24.70428059,972.0787978,11.6852225,92.39170079,1.206090498,8.829966206,17.33650476,163.0200673,66.69452879,1.672838172,1430.673763,2393.285682,1.24396633,646.9787109
20,1,273.1878731,96.8160646,76.31416444,2.825086379,1930.200801,39.16396774,16.90140735,34.73373141,117.0540037,83.19916267,19.61172399,114.7943663,197.3879532,36.42961829,64.8983864,24.99440206,967.3814698,11.68927941,91.99393687,1.209901908,8.845544019,17.29170413,163.0112561,66.98862565,1.673199789,1428.636721,2390.39466,1.238417609,650.5156743
21,1,272.5237321,96.83289662,76.49513482,2.825644417,1936.142387,39.18640334,16.92994035,34.70453372,116.6379796,82.90704765,19.66901833,115.3016356,197.8550867,36.64471794,64.85905815,25.28123388,963.2374353,11.69973434,91.64624124,1.214193625,8.866255293,17.26078411,162.9993119,67.33674556,1.673578523,1427.119788,2388.397026,1.233585423,654.3315279
22,1,271.9283367,96.87863521,76.69927955,2.825951656,1941.801573,39.2184223,16.96361158,34.68779098,116.2597624,82.60462653,19.73550227,115.8845148,198.3622928,36.87133539,64.81666754,25.55757238,959.5905501,11.71554502,91.3431555,1.218845376,8.891265489,17.23931073,162.9839437,67.72725363,1.673972745,1426.004912,2387.093357,1.229318891,658.4221885
23,1,271.3832422,96.94462376,76.91949166,2.825846221,1947.254071,39.25640616,17.00057919,34.68104454,115.9129075,82.29165812,19.80871044,116.5277841,198.8945108,37.10416957,64.7708408,25.81637868,956.3758904,11.73553059,91.07845808,1.223726168,8.91962332,17.22249424,162.9650562,68.14756212,1.674380692,1425.165747,2386.270009,1.225453856,662.7800243
24,1,270.8700648,97.02222709,77.14834804,2.825186832,1952.586805,39.29674556,17.03902809,34.68181302,115.5908859,81.96836671,19.88603552,117.2158779,199.4374744,37.33786518,64.72177508,26.0511421,953.5242699,11.75843284,90.84557599,1.228700758,8.950308046,17.20542235,162.9428051,68.58484367,1.674800506,1424.47512,2385.711652,1.221821045,667.3938187
