Age,70,120,220,270,320,370,420,470,520,570,620,670,720,770,820,870,920,970,1020,1070
0,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
1,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
2,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
3,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
4,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
5,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
6,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
7,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
8,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
9,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
10,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
11,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
12,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
13,1,1.17,1.3689,1.6016,1.8739,2.1924,2.5652,3.0012,3.5115,4.1084,4.8068,5.624,6.5801,7.6987,9.0075,10.5387,12.3303,14.4265,16.879,19.7484
